date,close,volume,open,high,low
1/10/2019,277.03,964747,274.8,277.71,269.29
1/9/2019,281.19,707414,275.82,282.1,274.915
1/8/2019,276,911182,271.92,276.5,267.43
1/7/2019,271,1247570,256.97,271.15,256.97
1/4/2019,255.03,864514,247.08,258.48,246
1/3/2019,243.36,864889,245.83,247,240.13
1/2/2019,247.97,1051096,239.96,249.4,239.31
12/31/2018,244.84,719791,240.35,244.86,239.5648
12/28/2018,239.45,636983,243.5,247.09,238.17
12/27/2018,242.27,669598,238.77,242.495,233.85
12/26/2018,242.2,1007171,230.74,242.42,229.4885
12/24/2018,229.06,659961,228.65,234.29,224.4301
12/21/2018,230.49,1695228,235.19,238.15,229.26
12/20/2018,234.01,1092394,237.85,241.1,230.209
12/19/2018,239.23,1262403,243.86,247.14,237.75
12/18/2018,240.91,1023960,244.86,248.945,237.55
12/17/2018,241.95,887810,245.56,248.5104,240.5
12/14/2018,246.85,910272,249.2,251.68,246.04
12/13/2018,251.52,817505,255.73,256.235,250.528
12/12/2018,255.15,1134080,251.46,257.49,248.5446
12/11/2018,247.86,1109544,255,256.93,246.56
12/10/2018,251.1,2690447,251.93,254.1,242.74
12/7/2018,254.47,4225348,271.45,276.11,252
12/6/2018,292.92,1739355,285,293.545,281.78
12/4/2018,291.13,1566209,304.78,308.4,289.21
12/3/2018,306.49,1382320,303.88,311.3,302.47
11/30/2018,297.79,969997,300.05,301.95,296.42
11/29/2018,300.37,1096085,298,302.71,297.02
11/28/2018,295.14,1563729,299.19,302.2906,292.565
11/27/2018,296.83,1546320,296.43,298.63,293.88
11/26/2018,301.11,1143938,306.99,309.22,299.6
11/23/2018,303.32,334587,302.77,307.38,302.3324
11/21/2018,303.76,545292,304.15,305.9848,301.31
11/20/2018,302.14,1135025,304.97,310.2522,301.01
11/19/2018,313.28,1020711,315.38,322.4899,311.1866
11/16/2018,313.56,830134,311.01,316.64,306.015
11/15/2018,311.81,845493,312.13,312.52,306.23
11/14/2018,313.13,1182232,315.15,321.73,309
11/13/2018,314.25,801714,308.88,314.29,305.5133
11/12/2018,308.99,1150895,308.5,312.38,305.5
11/9/2018,308.12,1551954,303.7,312.2,302.15
11/8/2018,304.49,1928403,281.76,308.88,275.11
11/7/2018,290.51,1586339,295.01,297.76,287
11/6/2018,291.79,1090642,286.2,292.3748,285.34
11/5/2018,285.13,1134581,283.34,288.65,282.54
11/2/2018,281.95,953501,275.36,282.24,275.04
11/1/2018,272.95,703476,275.9,277.73,272.21
10/31/2018,274.52,939440,271.42,277.65,271.41
10/30/2018,266.99,1455148,278.6,279.5325,263.94
10/29/2018,278.5,1015595,278.43,285.43,275.4
10/26/2018,274.89,839648,268.02,276.07,266
10/25/2018,272.24,693144,267.73,273.605,266.34
10/24/2018,267.03,787565,271.72,275.245,266.78
10/23/2018,272.05,958982,270.5,272.42,263.005
10/22/2018,274.61,1138230,271.91,275.15,270.925
10/19/2018,270.78,977601,275.5,277.858,270.62
10/18/2018,273.44,846702,280.63,283.17,271.26
10/17/2018,281.92,521647,286.33,287.05,278.96
10/16/2018,285.41,730882,283.66,286.55,278.23
10/15/2018,281.73,881622,276.15,285.01,275.08
10/12/2018,275.64,1026538,272.08,277.93,272
10/11/2018,267.57,738297,268.76,274.32,264.71
10/10/2018,268.13,773968,275.27,275.71,267.81
10/9/2018,275.68,703033,274.32,278,272.67
10/8/2018,273.49,669128,270.37,275.89,270.1135
10/5/2018,269.85,1152346,273.73,274.695,265
10/4/2018,275,650769,277.72,281.98,272.6
10/3/2018,278.87,528814,280.24,282.62,276.68
10/2/2018,279.97,609849,283.58,283.58,279.69
10/1/2018,282.96,695079,284.12,285.24,281.7741
9/28/2018,282.12,763853,278.97,285.51,278.95
9/27/2018,279.28,685829,279.21,281.0608,276.69
9/26/2018,278.33,863040,278.39,282.92,277.22
9/25/2018,277.46,651675,281.1,281.95,276.35
9/24/2018,280.99,847943,280.55,282.95,277.3
9/21/2018,280.77,1142146,285.83,286.53,280.73
9/20/2018,284.76,1143243,288.14,289.14,284.22
9/19/2018,287.16,937046,284.87,287.61,280.9
9/18/2018,282.87,789319,281.05,285.1,278.67
9/17/2018,281.45,703956,278.71,282.41,276.41
9/14/2018,279.1,853491,280.11,283,278.94
9/13/2018,280.52,979688,284.3,284.99,279.47
9/12/2018,283.63,1093966,287.41,289.65,282.55
9/11/2018,286.73,1041541,285.44,290.295,283.16
9/10/2018,285.96,984416,287.06,287.44,284.27
9/7/2018,285.8,2241461,276.41,288.9666,276.35
9/6/2018,275.66,939543,274.99,276.58,270.16
9/5/2018,274.93,1512645,272.95,276.78,269.6344
9/4/2018,274.37,2294799,260,274.98,258.27
8/31/2018,260,5310109,247.21,268.875,247.21
8/30/2018,244.41,1824876,240.73,246.21,240.57
8/29/2018,241.73,985184,241.77,242.92,240.16
8/28/2018,242.47,784598,241.67,245.374,239.44
8/27/2018,240.84,788371,242,245.17,239.64
8/24/2018,241.67,718673,240.1,242.0699,237.65
8/23/2018,239.4,806305,236.11,240.53,234.62
8/22/2018,234.7,938499,240.06,241.71,233.17
8/21/2018,242.18,742368,239.85,243.82,239.32
8/20/2018,239.32,663838,236,239.79,235.81
8/17/2018,235.04,718514,234.43,235.47,231.66
8/16/2018,233.17,806239,233.9,235.61,232.48
